year,city,state,lat,long,total_pop,violent_crime,homs_sum,rape_sum,rob_sum,agg_ass_sum
1979,Salt Lake City,Utah,40.7607793,-111.8910474,180189,1119,18,155,495,451
1979,San Antonio,Texas,29.4241219,-98.4936282,829138,4088,171,367,1689,1861
1979,San Diego,California,32.715738,-117.1610838,829322,5436,96,331,2884,2125
1979,San Francisco,California,37.7749295,-122.4194155,659176,11041,112,664,6694,3571
1979,San Jose,California,37.3382082,-121.8863286,604993,3236,44,407,1358,1427
1979,Seattle,Washington,47.6062095,-122.3320708,521590,4857,37,421,2071,2328
1979,St. Louis,Missouri,38.6270025,-90.1994042,505451,10774,265,555,5386,4568
1979,Tampa,Florida,27.950575,-82.4571776,277203,4206,37,308,1312,2549
1979,Tucson,Arizona,32.2217429,-110.926479,315978,2029,14,184,697,1134
1979,Tulsa,Oklahoma,36.1539816,-95.992775,343258,2326,44,196,651,1435
1979,Virginia Beach,Virginia,36.8529263,-75.977985,244308,530,10,74,188,258
1979,Washington,District of Columbia,38.9071923,-77.0368707,656000,10553,180,489,6920,2964
1979,Wichita,Kansas,37.688889,-97.336111,273559,1456,32,147,668,609
1980,Albuquerque,New Mexico,35.0853336,-106.6055534,328837,2810,49,217,914,1630
1980,Arlington,Texas,32.735687,-97.1080656,161192,806,7,72,196,531
1980,Atlanta,Georgia,33.7489954,-84.3879824,422474,11075,201,671,4733,5470
1980,Aurora,Colorado,39.7294319,-104.8319195,158249,1278,10,95,351,822
1980,Aurora,Illinois,41.7605849,-88.3200715,158249,1278,10,95,351,822
1980,Austin,Texas,30.267153,-97.7430608,343425,1723,43,237,678,765
1980,Baltimore,Maryland,39.2903848,-76.6121893,784554,16571,216,560,10020,5775
1980,Boston,Massachusetts,42.3600825,-71.0588801,562582,12478,92,484,7526,4376
1980,Buffalo,New York,42.8864468,-78.8783689,357384,3833,61,297,1914,1561
1980,Chicago,Illinois,41.8781136,-87.6297982,2986419,28658,863,1329,16261,10205
1980,Cincinnati,Ohio,39.1031182,-84.5120196,383114,3930,48,353,1686,1843
1980,Cleveland,Ohio,41.49932,-81.6943605,572657,11466,265,703,6802,3696
1980,Columbus,Georgia,32.4609764,-84.9877094,562416,5130,87,460,3224,1359
1980,Columbus,Ohio,39.9611755,-82.9987942,562416,5130,87,460,3224,1359
1980,Dallas,Texas,32.7766642,-96.7969879,900104,12681,319,1121,4983,6258
1980,Denver,Colorado,39.7392358,-104.990251,489318,5520,99,704,2366,2351
1980,Detroit,Michigan,42.331427,-83.0457538,1197325,23288,547,1313,13429,7999
1980,El Paso,Texas,31.7775757,-106.4424559,425122,2811,54,218,828,1711
1980,Fort Worth,Texas,32.7554883,-97.3307658,382679,4693,106,338,2286,1963
1980,Fresno,California,36.7468422,-119.7725868,215396,2369,49,193,1232,895
1980,Honolulu,Hawaii,21.3069444,-157.8583333,762020,2456,65,264,1729,398
1980,Houston,Texas,29.7604267,-95.3698028,1557575,13499,524,1264,9181,2530
1980,Indianapolis,Indiana,39.768403,-86.158068,698753,4453,107,410,2193,1743
1980,Jacksonville,Florida,30.3321838,-81.655651,542795,4848,70,414,1631,2733
